symbol,header,message,date,amount
MSM,Dividend,MSM announced a cash dividend of 0.85 with an ex-date of Apr. 9 2025,2025-04-09,0.85
AHR,Dividend,AHR announced a cash dividend of 0.25 with an ex-date of Mar. 31 2025,2025-03-31,0.25
PRIM,Dividend,PRIM announced a cash dividend of 0.08 with an ex-date of Mar. 31 2025,2025-03-31,0.08
ABCB,Dividend,ABCB announced a cash dividend of 0.20 with an ex-date of Mar. 31 2025,2025-03-31,0.20
TIGO,Dividend,TIGO announced a cash dividend of 0.75 with an ex-date of Apr. 8 2025,2025-04-08,0.75
KAI,Dividend,KAI announced a cash dividend of 0.34 with an ex-date of Apr. 9 2025,2025-04-09,0.34
GVA,Dividend,GVA announced a cash dividend of 0.13 with an ex-date of Mar. 31 2025,2025-03-31,0.13
BANF,Dividend,BANF announced a cash dividend of 0.46 with an ex-date of Mar. 31 2025,2025-03-31,0.46
GHC,Dividend,GHC announced a cash dividend of 1.80 with an ex-date of Apr. 17 2025,2025-04-17,1.80
DEI,Dividend,DEI announced a cash dividend of 0.19 with an ex-date of Mar. 31 2025,2025-03-31,0.19
DOOO,Dividend,DOOO announced a cash dividend of 0.215 with an ex-date of Apr. 4 2025,2025-04-04,0.215
APLE,Dividend,APLE announced a cash dividend of 0.08 with an ex-date of Mar. 31 2025,2025-03-31,0.08
TGLS,Dividend,TGLS announced a cash dividend of 0.15 with an ex-date of Mar. 31 2025,2025-03-31,0.15
CDP,Dividend,CDP announced a cash dividend of 0.305 with an ex-date of Mar. 31 2025,2025-03-31,0.305
AQN,Dividend,AQN announced a cash dividend of 0.065 with an ex-date of Mar. 31 2025,2025-03-31,0.065
BRC,Dividend,BRC announced a cash dividend of 0.24 with an ex-date of Apr. 9 2025,2025-04-09,0.24
FULT,Dividend,FULT announced a cash dividend of 0.18 with an ex-date of Apr. 1 2025,2025-04-01,0.18
OR,Dividend,OR announced a cash dividend of 0.065 with an ex-date of Mar. 31 2025,2025-03-31,0.065
ESE,Dividend,ESE announced a cash dividend of 0.08 with an ex-date of Apr. 2 2025,2025-04-02,0.08
DNP,Dividend,DNP announced a cash dividend of 0.065 with an ex-date of Apr. 30 2025,2025-04-30,0.065
SIG,Dividend,SIG announced a cash dividend of 0.32 with an ex-date of Apr. 25 2025,2025-04-25,0.32
EPR,Dividend,EPR announced a cash dividend of 0.295 with an ex-date of Mar. 31 2025,2025-03-31,0.295
HASI,Dividend,HASI announced a cash dividend of 0.42 with an ex-date of Apr. 4 2025,2025-04-04,0.42
AEO,Dividend,AEO announced a cash dividend of 0.125 with an ex-date of Apr. 11 2025,2025-04-11,0.125
WDFC,Dividend,WDFC announced a cash dividend of 0.94 with an ex-date of Apr. 17 2025,2025-04-17,0.94
